"date","series","value"
"2011-06-23","NG_001_MONTH",4.193
"2011-06-23","NG_002_MONTH",4.217
"2011-06-24","NG_001_MONTH",4.229
"2011-06-24","NG_002_MONTH",4.25
"2011-06-27","NG_001_MONTH",4.256
"2011-06-27","NG_002_MONTH",4.264
"2011-06-28","NG_001_MONTH",4.357
"2011-06-28","NG_002_MONTH",4.354
"2011-06-29","NG_001_MONTH",4.315
"2011-06-29","NG_002_MONTH",4.334
"2011-06-30","NG_001_MONTH",4.374
"2011-06-30","NG_002_MONTH",4.393
"2011-07-01","NG_001_MONTH",4.311
"2011-07-01","NG_002_MONTH",4.33
"2011-07-05","NG_001_MONTH",4.363
"2011-07-05","NG_002_MONTH",4.371
"2011-07-06","NG_001_MONTH",4.217
"2011-07-06","NG_002_MONTH",4.222
"2011-07-07","NG_001_MONTH",4.133
"2011-07-07","NG_002_MONTH",4.138
"2011-07-08","NG_001_MONTH",4.205
"2011-07-08","NG_002_MONTH",4.204
"2011-07-11","NG_001_MONTH",4.288
"2011-07-11","NG_002_MONTH",4.277
"2011-07-12","NG_001_MONTH",4.333
"2011-07-12","NG_002_MONTH",4.312
"2011-07-13","NG_001_MONTH",4.403
"2011-07-13","NG_002_MONTH",4.387
"2011-07-14","NG_001_MONTH",4.378
"2011-07-14","NG_002_MONTH",4.358
"2011-07-15","NG_001_MONTH",4.546
"2011-07-15","NG_002_MONTH",4.52
"2011-07-18","NG_001_MONTH",4.546
"2011-07-18","NG_002_MONTH",4.524
"2011-07-19","NG_001_MONTH",4.533
"2011-07-19","NG_002_MONTH",4.511
"2011-07-20","NG_001_MONTH",4.5
"2011-07-20","NG_002_MONTH",4.469
"2011-07-21","NG_001_MONTH",4.395
"2011-07-21","NG_002_MONTH",4.362
"2011-07-22","NG_001_MONTH",4.399
"2011-07-22","NG_002_MONTH",4.37
"2011-07-25","NG_001_MONTH",4.386
"2011-07-25","NG_002_MONTH",4.355
"2011-07-26","NG_001_MONTH",4.37
"2011-07-26","NG_002_MONTH",4.331
"2011-07-27","NG_001_MONTH",4.37
"2011-07-27","NG_002_MONTH",4.318
"2011-07-28","NG_001_MONTH",4.244
"2011-07-28","NG_002_MONTH",4.257
"2011-07-29","NG_001_MONTH",4.145
"2011-07-29","NG_002_MONTH",4.157
"2011-08-01","NG_001_MONTH",4.188
"2011-08-01","NG_002_MONTH",4.19
"2011-08-02","NG_001_MONTH",4.155
"2011-08-02","NG_002_MONTH",4.156
"2011-08-03","NG_001_MONTH",4.09
"2011-08-03","NG_002_MONTH",4.102
"2011-08-04","NG_001_MONTH",3.941
"2011-08-04","NG_002_MONTH",3.955
"2011-08-05","NG_001_MONTH",3.941
"2011-08-05","NG_002_MONTH",3.962
"2011-08-08","NG_001_MONTH",3.935
"2011-08-08","NG_002_MONTH",3.957
"2011-08-09","NG_001_MONTH",3.994
"2011-08-09","NG_002_MONTH",4.015
"2011-08-10","NG_001_MONTH",4.003
"2011-08-10","NG_002_MONTH",4.024
"2011-08-11","NG_001_MONTH",4.108
"2011-08-11","NG_002_MONTH",4.127
"2011-08-12","NG_001_MONTH",4.06
"2011-08-12","NG_002_MONTH",4.071
"2011-08-15","NG_001_MONTH",4.024
"2011-08-15","NG_002_MONTH",4.039
"2011-08-16","NG_001_MONTH",3.932
"2011-08-16","NG_002_MONTH",3.942
"2011-08-17","NG_001_MONTH",3.933
"2011-08-17","NG_002_MONTH",3.943
"2011-08-18","NG_001_MONTH",3.892
"2011-08-18","NG_002_MONTH",3.899
"2011-08-19","NG_001_MONTH",3.94
"2011-08-19","NG_002_MONTH",3.941
"2011-08-22","NG_001_MONTH",3.889
"2011-08-22","NG_002_MONTH",3.869
"2011-08-23","NG_001_MONTH",3.993
"2011-08-23","NG_002_MONTH",3.968
"2011-08-24","NG_001_MONTH",3.922
"2011-08-24","NG_002_MONTH",3.889
"2011-08-25","NG_001_MONTH",3.931
"2011-08-25","NG_002_MONTH",3.906
"2011-08-26","NG_001_MONTH",3.931
"2011-08-26","NG_002_MONTH",3.912
"2011-08-29","NG_001_MONTH",3.857
"2011-08-29","NG_002_MONTH",3.83
"2011-08-30","NG_001_MONTH",3.909
"2011-08-30","NG_002_MONTH",4.024
"2011-08-31","NG_001_MONTH",4.054
"2011-08-31","NG_002_MONTH",4.173
"2011-09-01","NG_001_MONTH",4.05
"2011-09-01","NG_002_MONTH",4.166
"2011-09-02","NG_001_MONTH",3.872
"2011-09-02","NG_002_MONTH",3.99
"2011-09-06","NG_001_MONTH",3.938
"2011-09-06","NG_002_MONTH",4.043
"2011-09-07","NG_001_MONTH",3.94
"2011-09-07","NG_002_MONTH",4.045
"2011-09-08","NG_001_MONTH",3.98
"2011-09-08","NG_002_MONTH",4.068
"2011-09-09","NG_001_MONTH",3.915
"2011-09-09","NG_002_MONTH",3.998
"2011-09-12","NG_001_MONTH",3.885
"2011-09-12","NG_002_MONTH",3.966
"2011-09-13","NG_001_MONTH",3.98
"2011-09-13","NG_002_MONTH",4.054
